column_label,item_code,source_item_code,item_type,variable_name,description,source
Parking-Direct Expend,Parkg_Dir,-60,subtotal,Parkg_Dir,Direct expenditure,historical_user_guide
Parking-Capital Outlay,Parkg_Cap,DDD,derived,Parkg_Cap,Capital outlays,historical_user_guide
Parking-Construction,F60,F60,item,Parkg_Con,Construction,historical_user_guide
Parking-IG-To State,L60,L60,item,Parkg_IGS,To state government,historical_user_guide
Parking-IG-Local Govts,M60,M60,item,Parkg_IGL,"To local governments, total (includes N60, O60, P60, and R60)",historical_user_guide
Parks & Rec-Total Exp,PrkRec_Tot,-61,subtotal,PrkRec_Tot,"Parks and Recreation, Total",historical_user_guide
Parks & Rec-Direct Exp,PrkRec_Dir,-61,subtotal,PrkRec_Dir,Direct expenditure,historical_user_guide
Parks & Rec-Cap Outlay,PrkRec_Cap,DDD,derived,PrkRec_Cap,Capital outlays,historical_user_guide
Parks & Rec-Construct,F61,F61,item,PrkRec_Con,Construction,historical_user_guide
Parks & Rec-IG To Sta,L61,L61,item,PrkRec_IGS,To state government,historical_user_guide
Parks & Rec-IG-Loc Govts,M61,M61,item,PrkRec_IGL,"To local governments, total (includes N61, O61, P61, and R61)",historical_user_guide
Police Prot-Total Exp,Police_Tot,-62,subtotal,Police_Tot,"Police Protection, Total",historical_user_guide
Police Prot-Direct Exp,Police_Dir,-62,subtotal,Police_Dir,Direct expenditure,historical_user_guide
Police Prot-Cap Outlay,Police_Cap,DDD,derived,Police_Cap,Capital outlays,historical_user_guide
Police Prot-Construct,F62,F62,item,Police_Con,Construction,historical_user_guide
Police Prot-IG To Sta,L62,L62,item,Police_IGS,To state government,historical_user_guide
Police Prot-IG-Loc Govts,M62,M62,item,Police_IGL,"To local governments, total (includes N62, O62, P62, and R62)",historical_user_guide
Prot Insp-Total Exp,ProtRg_Tot,-66,subtotal,ProtRg_Tot,"Protective Inspection and Regulation, NEC",historical_user_guide
Prot Insp-Direct Exp,ProtRg_Dir,-66,subtotal,ProtRg_Dir,Direct expenditure,historical_user_guide
Prot Insp-Cap Outlay,ProtRg_Cap,DDD,derived,ProtRg_Cap,Capital outlays,historical_user_guide
Prot Insp-Construction,F66,F66,item,ProtRg_Con,Construction,historical_user_guide
Prot Insp-IG To State,L66,L66,item,ProtRg_IGS,To state government,historical_user_guide
Prot Insp-IG-Local Govts,M66,M66,item,ProtRg_IGL,"To local governments, total (includes N66, O66, P66, and R66)",historical_user_guide
Public Welf-Total Exp,Welf_Tot,DDD,derived,Welf_Tot,"Public Welfare, Total",historical_user_guide
Public Welf-Direct Exp,Welf_Dir,DDD,derived,Welf_Dir,Direct Expenditure,historical_user_guide
Public Welf-Cash Asst,Welf_Asst,DDD,derived,Welf_Asst,Cash assistance payments,historical_user_guide
Public Welf-Cap Outlay,Welf_Cap,DDD,derived,Welf_Cap,Capital outlays,historical_user_guide
Public Welf-Construct,Welf_Con,DDD,derived,Welf_Con,Construction,historical_user_guide
Welf-Categ-Total Exp,Wel_Ct_Tot,-67,subtotal,Wel_Ct_Tot,"Public Welfare-Categorical Assistance Programs, Total",historical_user_guide
Welf-Categ-Cash Assist,E67,E67,item,Wel_Ct_AS,Cash assistance payments,historical_user_guide
Welf-Categ-IG To State,L67,L67,item,Wel_Ct_IGS,To state government,historical_user_guide
Welf-Categ-IG-Loc Govts,M67,M67,item,Wel_Ct_IGL,"To local governments, total (includes N67, O67, P67, and R67)",historical_user_guide
Welf-Cash-Total Exp,Wel_Cs_Tot,-68,subtotal,Wel_Cs_Tot,"Public Welfare-Other Assistance Programs, Total",historical_user_guide
Welf-Cash-Cash Assist,E68,E68,item,Wel_Cs_AS,Cash assistance payments,historical_user_guide
Welf-Cash-IG-Local Govts,M68,M68,item,Wel_Cs_IGL,"To local governments, total (includes N68, O68, P68, and R68)",historical_user_guide
Welf-Vend Pmts-Medical,E74,E74,item,Wel_Vn_Med,For medical care,historical_user_guide
Welf-Vend Pmts-NEC,E75,E75,item,Wel_Vn_NEC,For other purposes,historical_user_guide
Welf-State Share Part D,S74,S74,item,Welf_PartD,State share of Medicare Part D (prescription drug coverage),historical_user_guide
Welf-Ins-Total Exp,Wel_In_Tot,-77,subtotal,Wel_In_Tot,"Public Welfare-Institutions, Total",historical_user_guide
Welf-Ins-Cap Outlay,Wel_In_Cap,DDD,derived,Wel_In_Cap,Capital outlays,historical_user_guide
Welf-Ins-Construction,F77,F77,item,Wel_In_Con,Construction,historical_user_guide
Welf-NEC-Total Expend,OthWel_Tot,-79,subtotal,OthWel_Tot,"Public Welfare-NEC, Total",historical_user_guide
Welf-NEC-Direct Expend,OthWel_Dir,-79,subtotal,OthWel_Dir,Direct expenditure,historical_user_guide
Welf-NEC-Cap Outlay,OthWel_Cap,DDD,derived,OthWel_Cap,Capital outlays,historical_user_guide
Welf-NEC-Construction,F79,F79,item,OthWel_Con,Construction,historical_user_guide
Welf-NEC-IG To State,L79,L79,item,OthWel_IGS,To state government,historical_user_guide
Welf-NEC-IG-Local Govts,M79,M79,item,OthWel_IGL,"To local governments, total (includes N79, O79, P79, and R79)",historical_user_guide
Sewerage-Total Expend,Sewer_Tot,-80,subtotal,Sewer_Tot,"Sewerage, Total",historical_user_guide
Sewerage-Direct Expend,Sewer_Dir,-80,subtotal,Sewer_Dir,Direct expenditure,historical_user_guide
Sewerage-Cap Outlay,Sewer_Cap,DDD,derived,Sewer_Cap,Capital outlays,historical_user_guide
Sewerage-Construction,F80,F80,item,Sewer_Con,Construction,historical_user_guide
Sewerage-IG To State,L80,L80,item,Sewer_IGS,To state government,historical_user_guide
Sewerage-IG-Local Govts,M80,M80,item,Sewer_IGL,"To local governments, total (includes N80, O80, P80, and R80)",historical_user_guide
SW Mgmt-Total Expend,SWMgmt_Tot,-81,subtotal,SWMgmt_Tot,"Solid Waste Management, Total",historical_user_guide
SW Mgmt-Direct Expend,SWMgmt_Dir,-81,subtotal,SWMgmt_Dir,Direct expenditure,historical_user_guide
SW Mgmt-Capital Outlay,SWMgmt_Cap,DDD,derived,SWMgmt_Cap,Capital outlays,historical_user_guide
SW Mgmt-Construction,F81,F81,item,SWMgmt_Con,Construction,historical_user_guide
SW Mgmt-IG To State,L81,L81,item,SWMgmt_IGS,To state government,historical_user_guide
SW Mgmt-IG-Local Govts,M81,M81,item,SWMgmt_IGL,"To local governments, total (includes N81, O81, P81, and R81)",historical_user_guide
Water Trans-Total Exp,WatTrn_Tot,-87,subtotal,WatTrn_Tot,Sea and Inland Port Facilities,historical_user_guide
Water Trans-Direct Exp,WatTrn_Dir,-87,subtotal,WatTrn_Dir,Direct expenditure,historical_user_guide
Water Trans-Cap Outlay,WatTrn_Cap,DDD,derived,WatTrn_Cap,Capital outlays,historical_user_guide
Water Trans-Construct,F87,F87,item,WatTrn_Con,Construction,historical_user_guide
Water Trans-IG To Sta,L87,L87,item,WatTrn_IGS,To state government,historical_user_guide
Water Trans-IG-Loc Govts,M87,M87,item,WatTrn_IGL,"To local governments, total (includes N87, O87, P87, and R87)",historical_user_guide
Interest on Gen Debt,interest_on_gen_debt,I89,item,GenIntExp,Interest on General Debt,historical_user_guide
General NEC-Total Exp,GenNEC_Tot,-89,subtotal,GenNEC_Tot,"General Expenditure NEC, Total (includes any amounts for codes -84 & -85)",historical_user_guide
General NEC-Direct Exp,GenNEC_Dir,-89,subtotal,GenNEC_Dir,Direct expenditure,historical_user_guide
VetBonus,J85,J85,item,VetBonus,Assistance and subsidies,historical_user_guide
General NEC-Cap Outlay,GenNEC_Cap,DDD,derived,GenNEC_Cap,Capital outlays,historical_user_guide
General NEC-Construct,F89,F89,item,GenNEC_Con,Construction,historical_user_guide
General NEC-IG To St,L89,L89,item,GenNEC_IGS,"To state government (includes L91, L92, and L93)",historical_user_guide
General NEC-IG-Loc Govts,M89,M89,item,GenNEC_IGL,"To local governments, total (incl N89, O89, P89, R89, M91, M92, and M93)",historical_user_guide
General NEC-IG To Fed,S89,S89,item,GenNEC_IGF,To Federal Government,historical_user_guide
Liquor Stores-Tot Exp,LiqStr_Tot,-90,subtotal,LiqStr_Tot,"Liquor Stores, Total",historical_user_guide
Liquor Stores-Cap Out,LiqStr_Cap,DDD,derived,LiqStr_Cap,Capital outlays,historical_user_guide
Liquor Stores-Constr,F90,F90,item,LiqStr_Con,Construction,historical_user_guide
Total Util-Total Exp,Util_Tot,DDD,derived,Util_Tot,"Total Utilities, Total",historical_user_guide
Total Util-Inter Exp,Util_Int,DDD,derived,Util_Int,Interest on debt,historical_user_guide
Total Util-Cap Outlay,Util_Cap,DDD,derived,Util_Cap,Capital outlays,historical_user_guide
Total Util-Construct,Util_Con,DDD,derived,Util_Con,Construction,historical_user_guide
Water Util-Total Exp,WatUtl_Tot,-91,subtotal,WatUtl_Tot,"Water Supply Utilities, Total",historical_user_guide
Water Util-Inter Exp,I91,I91,item,WatUtl_Int,Interest on debt,historical_user_guide
Water Util-Cap Outlay,WatUtl_Cap,DDD,derived,WatUtl_Cap,Capital outlays,historical_user_guide
Water Util-Construct,F91,F91,item,WatUtl_Con,Construction,historical_user_guide
Elec Util-Total Exp,EleUtl_Tot,-92,subtotal,EleUtl_Tot,"Electric Power Utilities, Total",historical_user_guide
Elec Util-Inter Exp,I92,I92,item,EleUtl_Int,Interest on debt,historical_user_guide
Elec Util-Cap Outlay,EleUtl_Cap,DDD,derived,EleUtl_Cap,Capital outlays,historical_user_guide
Elec Util-Construct,F92,F92,item,EleUtl_Con,Construction,historical_user_guide
Gas Util-Total Exp,GasUtl_Tot,-93,subtotal,GasUtl_Tot,"Gas Supply Utilities, Total",historical_user_guide
Gas Util-Inter Exp,I93,I93,item,GasUtl_Int,Interest on debt,historical_user_guide
Gas Util-Cap Outlay,GasUtl_Cap,DDD,derived,GasUtl_Cap,Capital outlays,historical_user_guide
Gas Util-Construct,F93,F93,item,GasUtl_Con,Construction,historical_user_guide
Trans Util-Total Exp,TrnUtl_Tot,-94,subtotal,TrnUtl_Tot,"Transit System Utilities, Total",historical_user_guide
Trans Util-Inter Exp,I94,I94,item,TrnUtl_Int,Interest on debt,historical_user_guide
Trans Util-Cap Outlay,TrnUtl_Cap,DDD,derived,TrnUtl_Cap,Capital outlays,historical_user_guide
Trans Util-Construct,F94,F94,item,TrnUtl_Con,Construction,historical_user_guide
Emp Ret-Total Expend,EmpRet_Tot,DDD,derived,EmpRet_Tot,"Employee Retirement, Total",historical_user_guide
Emp Ret-Benefit Paymts,X11,X11,item,EmpRet_Ben,Benefit payments,historical_user_guide
Emp Ret-Withdrawals,X12,X12,item,EmpRet_Wit,Withdrawals,historical_user_guide
Emp Ret-Other Paymts,X14,X14,item,EmpRet_Oth,Other payments (Exhibit item-not included in C995),historical_user_guide
Unemp Comp-Total Exp,Unemp_Tot,DDD,derived,Unemp_Tot,"Unemployment Compensation, Total (Washington DC only for local govts)",historical_user_guide
Unemp Comp-Ben Paymts,Y05,Y05,item,Unemp_Ben,Benefit payments,historical_user_guide
Unemp-Ext & Spec Pmts,Y06,Y06,item,Unemp_Ext,Extended and special payments,historical_user_guide
Total Debt Outstanding,TotDebtOS,DDD,derived,TotDebtOS,Total Debt Outstanding at End of Fiscal Year,historical_user_guide
Total Long-Term Debt Out,LTDebtOS,DDD,derived,LTDebtOS,Long-term only,historical_user_guide
ST Debt-End of Year,64V,64V,item,ST_DebtOS,Short-term only,historical_user_guide
Total Beg LTD Out,BegOS_Tot,19-,subtotal,BegOS_Tot,Total,historical_user_guide
Beg LTD Out-Private Purp,beg_ltd_out_private_purp,19T,item,BegOS_PDPP,Public debt for private purposes (N/A before FY 1982),historical_user_guide
Beg LTD Out-All Other,19U,19U,item,BegOS_Oth,"All other general functions, NEC",historical_user_guide
Beg LTD Out-Utility,BegOS_Utl,DDD,derived,BegOS_Utl,"Utilities, total",historical_user_guide
Beg LTD Out-Water Util,19A,19A,item,BegOS_Wat,Water supply,historical_user_guide
Beg LTD Out-Elec Util,19B,19B,item,BegOS_Ele,Electric power,historical_user_guide
Beg LTD Out-Gas Util,19C,19C,item,BegOS_Gas,Gas supply,historical_user_guide
Beg LTD Out-Trans Util,19D,19D,item,BegOS_Trn,Transit systems,historical_user_guide
Beg LTD Out-General,BegOS_Gen,DDD,derived,BegOS_Gen,"General, total",historical_user_guide
Beg LTD Out-Education,19H,19H,item,BegOS_Ed,"Education, NEC",historical_user_guide
Beg LTD Out-Priv Purp,beg_ltd_out_priv_purp,19T,item,BegOS_PDPP,Public debt for private purposes (includes 19W),historical_user_guide
Beg LTD Out-Other NEC,19X,19X,item,BegOS_NEC,"All other general functions, NEC",historical_user_guide
Total LTD Issued,TotIss_Tot,2--,subtotal,TotIss_Tot,Total,historical_user_guide
LTD Iss-Private Purp,ltd_iss_private_purp,24T,item,TotIssPDPP,Public debt for private purposes (N/A before FY 1982),historical_user_guide
LTD Iss-All Other,29U,29U,item,TotIss_Oth,"All other general functions, NEC",historical_user_guide
LTD Iss-Utility,TotIss_Utl,DDD,derived,TotIss_Utl,"Utilities, total",historical_user_guide
LTD Iss-Util-Water,TotIss_Wat,2-A,subtotal,TotIss_Wat,Water supply,historical_user_guide
LTD Iss-Util-Electric,TotIss_Ele,2-B,subtotal,TotIss_Ele,Electric power,historical_user_guide
LTD Iss-Util-Gas Supply,TotIss_Gas,2-C,subtotal,TotIss_Gas,Gas supply,historical_user_guide
LTD Iss-Util-Transit,TotIss_Trn,2-D,subtotal,TotIss_Trn,Transit systems,historical_user_guide
LTD Iss-General,TotIss_Gen,DDD,derived,TotIss_Gen,"General, total",historical_user_guide
LTD Iss-Gen-Elem Educ,TotIss_ES,2-F,subtotal,TotIss_ES,Elementary and secondary education,historical_user_guide
LTD Iss-Gen-Other Educ,TotIss_OEd,2-G,subtotal,TotIss_OEd,Higher and other education (includes 2-H),historical_user_guide
LTD Iss-Gen-Other NEC,TotIss_NEC,2-X,subtotal,TotIss_NEC,"All other general functions, NEC (includes 24T)",historical_user_guide
Total LTD Iss-FFC,FFCIss_Tot,21/29-,subtotal,FFCIss_Tot,Total,historical_user_guide
LTD Iss-FFC-Utility,FFCIss_Utl,DDD,derived,FFCIss_Utl,"Utilities, total",historical_user_guide
LTD Iss-FFC-Water Util,FFCIss_Wat,21/29A,derived,FFCIss_Wat,Water supply,historical_user_guide
LTD Iss-FFC-Elec Util,FFCIss_Ele,21/29B,derived,FFCIss_Ele,Electric power,historical_user_guide
LTD Iss-FFC-Gas Util,FFCIss_Gas,21/29C,derived,FFCIss_Gas,Gas supply,historical_user_guide
LTD Iss-FFC-Trans Util,FFCIss_Trn,21/29D,derived,FFCIss_Trn,Transit systems,historical_user_guide
LTD Iss-FFC-General,FFCIss_Gen,DDD,derived,FFCIss_Gen,"General, total",historical_user_guide
LTD Iss-FFC-Elem Educ,FFCIss_ES,21/29F,derived,FFCIss_ES,Elementary and secondary education,historical_user_guide
LTD Iss-FFC-Other Educ,FFCIss_OEd,21/29G,derived,FFCIss_OEd,Higher and other education (includes 21/29H),historical_user_guide
LTD Iss-FFC-Other NEC,FFCIss_NEC,21/29X,derived,FFCIss_NEC,"All other general functions, NEC",historical_user_guide
Total LTD Iss-NG,NGIss_Tot,24-,subtotal,NGIss_Tot,Total,historical_user_guide
LTD Iss-NG-Utility,NGIss_Util,DDD,derived,NGIss_Util,"Utilities, total",historical_user_guide
LTD Iss-NG-Water Util,24A,24A,item,NGIss_Wat,Water supply,historical_user_guide
LTD Iss-NG-Elec Util,24B,24B,item,NGIss_Ele,Electric power,historical_user_guide
LTD Iss-NG-Gas Util,24C,24C,item,NGIss_Gas,Gas supply,historical_user_guide
LTD Iss-NG-Trans Util,24D,24D,item,NGIss_Trn,Transit systems,historical_user_guide
LTD Iss-NG-General,NGIss_Gen,DDD,derived,NGIss_Gen,"General, total",historical_user_guide
LTD Iss-NG-Elem Educ,24F,24F,item,NGIss_ES,Elementary and secondary education,historical_user_guide
LTD Iss-NG-Other Educ,24G,24G,item,NGIss_OtEd,Higher and other education (includes 24H),historical_user_guide
LTD Iss-NG-Private Purp,ltd_iss_ng_private_purp,24T,item,NGIss_PDPP,Public debt for private purposes (includes 24W),historical_user_guide
LTD Iss-NG-Other NEC,24X,24X,item,NGIss_NEC,"All other general functions, NEC",historical_user_guide
Total LTD Iss-Unsp,UnsIss_Tot,29-,subtotal,UnsIss_Tot,Total,historical_user_guide
LTD Iss-Unsp-Utility,UnsIss_Utl,DDD,derived,UnsIss_Utl,"Utilities, total",historical_user_guide
LTD Iss-Unsp-Water Util,29A,29A,item,UnsIss_Wat,Water supply,historical_user_guide
LTD Iss-Unsp-Elec Util,29B,29B,item,UnsIss_Ele,Electric power,historical_user_guide
LTD Iss-Unsp-Gas Util,29C,29C,item,UnsIss_Gas,Gas supply,historical_user_guide
LTD Iss-Unsp-Trans Util,29D,29D,item,UnsIss_Trn,Transit systems,historical_user_guide
LTD Iss-Unsp-General,UnsIss_Gen,DDD,derived,UnsIss_Gen,"General, total",historical_user_guide
LTD Iss-Unsp-Elem Educ,29F,29F,item,UnsIss_ES,Elementary and secondary education,historical_user_guide
LTD Iss-Unsp-Other Educ,29G,29G,item,UnsIss_OEd,Higher and other education (includes 29H),historical_user_guide
LTD Iss-Unsp-Other NEC,29X,29X,item,UnsIss_NEC,"All other general functions, NEC",historical_user_guide
Total LTD Retired,TotRet_Tot,3--,subtotal,TotRet_Tot,Total,historical_user_guide
LTD Ret-Private Purp,ltd_ret_private_purp,34T,item,TotRetPDPP,Public debt for private purposes (N/A before FY 1982),historical_user_guide
LTD Ret-All Other,39U,39U,item,TotRet_Oth,"All other general functions, NEC",historical_user_guide
LTD Ret-Utility,TotRet_Utl,DDD,derived,TotRet_Utl,"Utilities, total",historical_user_guide
LTD Ret-Util-Water,TotRet_Wat,3-A,subtotal,TotRet_Wat,Water supply,historical_user_guide
LTD Ret-Util-Electric,TotRet_Ele,3-B,subtotal,TotRet_Ele,Electric power,historical_user_guide
LTD Ret-Util-Gas Supply,TotRet_Gas,3-C,subtotal,TotRet_Gas,Gas supply,historical_user_guide
LTD Ret-Util-Transit,TotRet_Trn,3-D,subtotal,TotRet_Trn,Transit systems,historical_user_guide
LTD Ret-General,TotRet_Gen,DDD,derived,TotRet_Gen,"General, total",historical_user_guide
LTD Ret-Gen-Elem Educ,TotRet_ES,3-F,subtotal,TotRet_ES,Elementary and secondary education,historical_user_guide
LTD Ret-Gen-Other Educ,TotRet_OEd,3-G,subtotal,TotRet_OEd,Higher and other education (includes 3-H),historical_user_guide
LTD Ret-Gen-Other NEC,TotRet_NEC,3-X,subtotal,TotRet_NEC,"All other general functions, NEC (includes 34T)",historical_user_guide
Total LTD Ret-FFC,FFCRet_Tot,31/39-,subtotal,FFCRet_Tot,Total,historical_user_guide
LTD Ret-FFC-Utility,FFCRet_Utl,DDD,derived,FFCRet_Utl,"Utilities, total",historical_user_guide
LTD Ret-FFC-Water Util,FFCRet_Wat,31/39A,derived,FFCRet_Wat,Water supply,historical_user_guide
LTD Ret-FFC-Elec Util,FFCRet_Ele,31/39B,derived,FFCRet_Ele,Electric power,historical_user_guide
LTD Ret-FFC-Gas Util,FFCRet_Gas,31/39C,derived,FFCRet_Gas,Gas supply,historical_user_guide
LTD Ret-FFC-Trans Util,FFCRet_Trn,31/39D,derived,FFCRet_Trn,Transit systems,historical_user_guide
LTD Ret-FFC-General,FFCRet_Gen,DDD,derived,FFCRet_Gen,"General, total",historical_user_guide
LTD Ret-FFC-Elem Educ,FFCRet_ES,31/39F,derived,FFCRet_ES,Elementary and secondary education,historical_user_guide
LTD Ret-FFC-Other Educ,FFCRet_OEd,31/39G,derived,FFCRet_OEd,Higher and other education (includes 31/39H),historical_user_guide
LTD Ret-FFC-Other NEC,FFCRet_NEC,31/39X,derived,FFCRet_NEC,"All other general functions, NEC",historical_user_guide
Total LTD Ret-NG,NGRet_Tot,34-,subtotal,NGRet_Tot,Total,historical_user_guide
LTD Ret-NG-Utility,NGRet_Util,DDD,derived,NGRet_Util,"Utilities, total",historical_user_guide
LTD Ret-NG-Water Util,34A,34A,item,NGRet_Wat,Water supply,historical_user_guide
LTD Ret-NG-Elec Util,34B,34B,item,NGRet_Ele,Electric power,historical_user_guide
LTD Ret-NG-Gas Util,34C,34C,item,NGRet_Gas,Gas supply,historical_user_guide
LTD Ret-NG-Trans Util,34D,34D,item,NGRet_Trn,Transit systems,historical_user_guide
LTD Ret-NG-General,NGRet_Gen,DDD,derived,NGRet_Gen,"General, total",historical_user_guide
LTD Ret-NG-Elem Educ,34F,34F,item,NGRet_ES,Elementary and secondary education,historical_user_guide
LTD Ret-NG-Other Educ,34G,34G,item,NGRet_OtEd,Higher and other education (includes 34H),historical_user_guide
LTD Ret-NG-Private Purp,ltd_ret_ng_private_purp,34T,item,NGRet_PDPP,Public debt for private purposes (includes 34W),historical_user_guide
LTD Ret-NG-Other NEC,34X,34X,item,NGRet_NEC,"All other general functions, NEC",historical_user_guide
Total LTD Ret-Unsp,UnsRet_Tot,39-,subtotal,UnsRet_Tot,Total,historical_user_guide
LTD Ret-Unsp-Utility,UnsRet_Utl,DDD,derived,UnsRet_Utl,"Utilities, total",historical_user_guide
LTD Ret-Unsp-Water Util,39A,39A,item,UnsRet_Wat,Water supply,historical_user_guide
LTD Ret-Unsp-Elec Utili,39B,39B,item,UnsRet_Ele,Electric power,historical_user_guide
LTD Ret-Unsp-Gas Util,39C,39C,item,UnsRet_Gas,Gas supply,historical_user_guide
LTD Ret-Unsp-Trans Util,39D,39D,item,UnsRet_Trn,Transit systems,historical_user_guide
LTD Ret-Unsp-General,UnsRet_Gen,DDD,derived,UnsRet_Gen,"General, total",historical_user_guide
LTD Ret-Unsp-Elem Educ,39F,39F,item,UnsRet_ES,Elementary and secondary education,historical_user_guide
LTD Ret-Unsp-Other Educ,39G,39G,item,UnsRet_OEd,Higher and other education (includes 39H),historical_user_guide
LTD Ret-Unsp-Other NEC,39X,39X,item,UnsRet_NEC,"All other general functions, NEC",historical_user_guide
Total LTD Out,TotOut_Tot,DDD,derived,TotOut_Tot,Total,historical_user_guide
LTD Out-Private Purp,ltd_out_private_purp,44T,item,LTDOutPDPP,Public debt for private purposes (N/A before FY 1982),historical_user_guide
LTD Out-All Other,49U,49U,item,LTDOut_Oth,"All other general functions, NEC",historical_user_guide
Total LTD Out-Utility,TotOut_Utl,DDD,derived,TotOut_Utl,"Utilities, total",historical_user_guide
LTD Out-Util-Water,TotOut_Wat,4-A,subtotal,TotOut_Wat,Water supply,historical_user_guide
LTD Out-Util-Electric,TotOut_Ele,4-B,subtotal,TotOut_Ele,Electric power,historical_user_guide
LTD Out-Util-Gas Supply,TotOut_Gas,4-C,subtotal,TotOut_Gas,Gas supply,historical_user_guide
LTD Out-Util-Transit,TotOut_Trn,4-D,subtotal,TotOut_Trn,Transit systems,historical_user_guide
LTD Out-General,TotOut_Gen,DDD,derived,TotOut_Gen,"General, total",historical_user_guide
LTD Out-Gen-Elem Educ,TotOut_ES,4-F,subtotal,TotOut_ES,Elementary and secondary education,historical_user_guide
LTD Out-Gen-Other Educ,TotOut_OEd,4-G,subtotal,TotOut_OEd,Higher and other education (includes 4-H),historical_user_guide
LTD Out-Gen-Other NEC,TotOut_NEC,4-X,subtotal,TotOut_NEC,"All other general functions, NEC (includes 44T)",historical_user_guide
Total LTD Out-FFC,FFCOut_Tot,41-,subtotal,FFCOut_Tot,Total,historical_user_guide
LTD Out-FFC-Utility,FFCOut_Utl,DDD,derived,FFCOut_Utl,"Utilities, total",historical_user_guide
LTD Out-FFC-Water Util,41A,41A,item,FFCOut_Wat,Water supply,historical_user_guide
LTD Out-FFC-Elec Util,41B,41B,item,FFCOut_Ele,Electric power,historical_user_guide
LTD Out-FFC-Gas Util,41C,41C,item,FFCOut_Gas,Gas supply,historical_user_guide
LTD Out-FFC-Trans Util,41D,41D,item,FFCOut_Trn,Transit systems,historical_user_guide
LTD Out-FFC-General,FFCOut_Gen,DDD,derived,FFCOut_Gen,"General, total",historical_user_guide
LTD Out-FFC-Elem Educ,41F,41F,item,FFCOut_ES,Elementary and secondary education,historical_user_guide
LTD Out-FFC-Other Educ,41G,41G,item,FFCOut_OEd,Higher and other education (includes 41H),historical_user_guide
LTD Out-FFC-Other NEC,41X,41X,item,FFCOut_NEC,"All other general functions, NEC",historical_user_guide
Tot LTD Out-NG,NGOut_Tot,44-,subtotal,NGOut_Tot,Total,historical_user_guide
LTD Out-NG-Utility,NGOut_Util,DDD,derived,NGOut_Util,"Utilities, total",historical_user_guide
LTD Out-NG-Water Util,44A,44A,item,NGOut_Wat,Water supply,historical_user_guide
LTD Out-NG-Elec Util,44B,44B,item,NGOut_Ele,Electric power,historical_user_guide
LTD Out-NG-Gas Util,44C,44C,item,NGOut_Gas,Gas supply,historical_user_guide
LTD Out-NG-Trans Util,44D,44D,item,NGOut_Trn,Transit systems,historical_user_guide
LTD Out-NG-General,NGOut_Gen,DDD,derived,NGOut_Gen,"General, total",historical_user_guide
LTD Out-NG-Elem Educ,44F,44F,item,NGOut_ES,Elementary and secondary education,historical_user_guide
LTD Out-NG-Other Educ,44G,44G,item,NGOut_OtEd,Higher and other education (includes 44H),historical_user_guide
LTD Out-NG-Private Purp,ltd_out_ng_private_purp,44T,item,NGOut_PDPP,Public debt for private purposes (includes 44W),historical_user_guide
LTD Out-NG-Other NEC,44X,44X,item,NGOut_NEC,"All other general functions, NEC",historical_user_guide
Total Cash & Securities,TotCashSec,DDD,derived,TotCashSec,All Funds Cash and Securities (insurance and noninsurance),historical_user_guide
Insur Trust-Cash & Sec,InsTr_CSc,DDD,derived,InsTr_CSc,"Insurance Trust Funds Only Cash and Securities, Total",historical_user_guide
Emp Retire-Cash & Sec,EmpR_CSc,X--,subtotal,EmpR_CSc,Total cash and securities,historical_user_guide
Emp Retire-Cash & Dep,X21,X21,item,EmpR_Cash,Cash and deposits,historical_user_guide
Emp Retire-Total Sec,EmpR_TotSc,DDD,derived,EmpR_TotSc,"Securities, total",historical_user_guide
Emp Retire-Sec-Tot Fed,EmpR_FdSec,DDD,derived,EmpR_FdSec,"Federal securities, total (Note: Includes  X30 and X33)",historical_user_guide
Emp Retire-Sec-S&L Secur,X35,X35,item,EmpR_SLSec,State & local govt (Note: Included in X44 after FY87),historical_user_guide
Emp Retire-Sec-Tot Nong,EmpR_NonGv,DDD,derived,EmpR_NonGv,"Nongovernmental securities, NEC",historical_user_guide
Emp Retire-Sec-Corp Bds,X40,X40,item,EmpR_CpBds,Corporate bonds,historical_user_guide
Emp Retire-Sec-Corp Stk,X41,X41,item,EmpR_CpStk,Corporate stock,historical_user_guide
Emp Retire-Sec-Mortgages,X42,X42,item,EmpR_Mortg,Mortgages,historical_user_guide
Emp Retire-Sec-Misc Inv,X47,X47,item,EmpR_Misc,Miscellaneous investments (Note: Added in FY 88),historical_user_guide
Emp Retire-Sec-Oth Nong,X44,X44,item,EmpR_Other,Other (includes X35 after FY 87),historical_user_guide
Unemp Comp-Cash & Sec,Unemp_CSc,DDD,derived,Unemp_CSc,Total cash and securities,historical_user_guide
Unemp Comp-Bal In US Trs,Y07,Y07,item,Unemp_Bal,Balance held in U.S. Treasury,historical_user_guide
Unemp Comp-Other Balance,Y08,Y08,item,Unemp_Oth,Other balances (can be positive or negative),historical_user_guide
Nonin Trust-Cash & Sec,NonIns_CSc,DDD,derived,NonIns_CSc,"Other Than Insurance Trusts Holdings Cash and Securities, Total",historical_user_guide
Sinking Fd-Cash & Sec,Sink_CSc,DDD,derived,Sink_CSc,Sinking Funds (debt service funds) Cash and Securities,historical_user_guide
Bond Fd-Cash & Sec,Bond_CSc,DDD,derived,Bond_CSc,Bond Funds Cash and Securities,historical_user_guide
