column_label,item_code,source_item_code,item_type,variable_name,description,source
Local IGR-Hous/Com Dev,D50,D50,item,LIGR_HoCD,Housing and community development,historical_user_guide
Local IGR-Public Welf,D79,D79,item,LIGR_PuWel,Public welfare,historical_user_guide
Local IGR-Sewerage,D80,D80,item,LIGR_Sewer,Sewerage,historical_user_guide
Local IGR-Other,D89,D89,item,LIGR_Other,"Other (includes D91, D92, and D93)",historical_user_guide
Tot Chgs and Misc Rev,TotChgMisc,DDD,derived,TotChgMisc,Total Charges and Miscellaneous General Revenue,historical_user_guide
Total General Charges,TotGenChgs,A--,subtotal,TotGenChgs,"General Charges, Total",historical_user_guide
Chg-Air Transportation,A01,A01,item,Chg_Airp,Air transportation (airports),historical_user_guide
Chg-Misc Com Activ,A03,A03,item,Chg_MisCom,Miscellaneous commercial activities,historical_user_guide
Chg-Total Education,Chg_TotEd,DDD,derived,Chg_TotEd,"Education, total (includes any A21)",historical_user_guide
Chg-Elem Ed-Sch Lunch,A09,A09,item,Chg_ES_Lun,School Lunch,historical_user_guide
Chg-Elem Ed-Tuition,A10,A10,item,Chg_ES_Tui,Tuition,historical_user_guide
Chg-Elem Ed-NEC,A12,A12,item,Chg_ES_NEC,Other,historical_user_guide
Chg-Total High Ed,Chg_HiEd,DDD,derived,Chg_HiEd,Higher Education (includes A16 and A18),historical_user_guide
Chg-Hospitals,A36,A36,item,Chg_Hosp,Hospitals,historical_user_guide
Chg-Regular Highways,A44,A44,item,Chg_RegHwy,Regular Highways (includes A45 before FY 1977),historical_user_guide
Chg-Toll Highways,A45,A45,item,Chg_TolHwy,Toll highways (not available before FY 1977),historical_user_guide
Chg-Housing & Comm Dev,A50,A50,item,Chg_HoCD,Housing and community development,historical_user_guide
Chg-Total Nat Res,A59,A59,item,Chg_NatRes,"Natural resources (includes any A54, A56, and A59)",historical_user_guide
Chg-Parking,A60,A60,item,Chg_Parkg,Parking facilities,historical_user_guide
Chg-Parks & Recreation,A61,A61,item,Chg_PrkRec,Parks and recreation,historical_user_guide
Chg-Sewerage,A80,A80,item,Chg_Sewer,Sewerage,historical_user_guide
Chg-Solid Waste Mgmt,A81,A81,item,Chg_SWMgmt,Solid waste management,historical_user_guide
Chg-Water Transport,A87,A87,item,Chg_WatTrn,Sea and Inland Port Facilities,historical_user_guide
Chg-All Other NEC,A89,A89,item,Chg_OthNEC,"All other general charges, NEC (includes Federal codes A06 and  A14)",historical_user_guide
Misc General Revenue,MiscGenRev,U--,subtotal,MiscGenRev,"Miscellaneous General Revenue, Total",historical_user_guide
Special Assessments,U01,U01,item,SpecAssess,Special assessments,historical_user_guide
Prop Sale-Hous/Com Dev,U10,U10,item,Prop_HoCD,Housing and community development,historical_user_guide
Prop Sale-Other,U11,U11,item,Prop_Other,Other property,historical_user_guide
Interest Revenue,U20,U20,item,InterstRev,Interest earnings on investments,historical_user_guide
Fines and Forfeits,U30,U30,item,Fines_Forf,Fines and forfeits,historical_user_guide
