name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
id_tabela,STRING,Nome da tabela que contém a coluna descrita pela entrada do dicionário,,no,,,no,,
nome_coluna,STRING,Nome da coluna descrita pela entrada do dicionário,,no,,,no,,
chave,STRING,Código armazenado na coluna,,no,,,no,,
cobertura_temporal,STRING,Cobertura temporal da entrada do dicionário,,no,,,no,,
valor,STRING,Significado do código armazenado na coluna,,no,,,no,,
