name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
acronym,STRING,Código canônico de duas letras da unidade federativa (estado ou território) da Índia,,no,,,no,,acronym
name,STRING,Nome da unidade federativa em inglês,,no,,,no,,state_name
iso_3166_2,STRING,Código ISO 3166-2:IN da unidade (ex.: IN-TN); vazio para entidades extintas sem código,,no,,,no,,iso_3166_2
type,STRING,Tipo da unidade: estado (state) ou território da união (union_territory),,no,,,no,,state_type
is_current,BOOLEAN,Indica se a unidade existe atualmente nesta forma,,no,,,no,,is_current
successor_acronym,STRING,Código da unidade sucessora para entidades extintas ou renomeadas; vazio se atual,,no,,,no,,successor_acronym
