CO_NCM,CO_UNID,CO_SH6,CO_PPE,CO_PPI,CO_FAT_AGREG,CO_CUCI_ITEM,CO_CGCE_N3,CO_SIIT,CO_ISIC_CLASSE,CO_EXP_SUBSET,NO_NCM_POR,NO_NCM_ESP,NO_NCM_ING
38247200,10,382472,3990,3639,03,59899,240,2000,2029,1499,"Outras misturas que contenham bromoclorodifluorometano, bromotrifluorometano ou dibromotetrafluoroetanos","Otras mezclas que contenga bromoclorodifluorometano, bromotrifluorometano y dibromotetrafluoroetano","Other mix. cont. bromochlorodifluoromethane,bromotrifluoromethane and dibromotetrafluoroethane"
38247300,10,382473,3990,3639,03,59899,240,2000,2029,1499,Outras misturas que contenham hidrobromofluorcarbonetos (HBFC),Otras mezclas que contenga hidrobromofluorocarburo (hbfc),Other mixtures contain. hydrobromofluorocarbons (hbfc)
38247410,10,382474,3990,3639,03,59899,240,2000,2029,1499,Preparações que contenham clorodifluormetano e pentafluoretano,Preparados a base de clorodifluorometano/pentafluoroetano,Prepared based on chlorodifluoromethane/pentafluoroethane
38247420,10,382474,3990,3639,03,59899,240,2000,2029,1499,Preparações que contenham clorodifluormetano e clorotetrafluoretano,Preparados a base de clorodifluorometano/clorotetrafluoroetano,Prepared based on chlorodifluoromethane/chlorotetrafluoroethane
38247490,10,382474,3990,3639,03,59899,240,2000,2029,1499,Outros produtos preparados à base de compostos orgânicos,Otros productos preparados a base de compuestos orgánicos,Other products prepared based on organic compounds
30041015,10,300410,3338,3338,03,54213,322,1000,2100,1406,"Medicamento contendo penicilina g procaínica, em doses","Medicamento q.contenga penicilina g procaínica, en dosis","Medicament cont.penicillin g procaine, in doses"
30041019,10,300410,3338,3338,03,54213,322,1000,2100,1406,Medicamento cont.outs.penicilinas/seus derivs.em doses,Medicamento q.cont.dem.penicilinas/sus derivs.en dosis,"Medicament cont.oth.penicillin/its derivatives, in doses"
30041020,10,300410,3338,3338,03,54213,322,1000,2100,1406,"Medicamento contendo estreptomicinas/seus derivados, em doses",Medicamento q.cont.estreptomicinas/sus derivs.en dosis,"Medicament cont.streptomycins/its derivatives, in doses"
30042011,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cloranfenicol/seu palmitato, etc, em doses","Medicamento c/cloranfenicol/su palmitato, etc.en dosis","Medicament c/chloramphenicol, its palmitate, etc.in doses"
30042019,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo anfenicóis/outros sais, em doses","Medicamento q.contenga anfenicoles/otros sales, en dosis","Medicament c/amphenicols/other salts, in doses"
30042021,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo eritromicina ou seus sais, em doses","Medicamento q.contenga eritromicina o sus sales, en dos.","Medicament c/erythromycin or its salts, in doses"
30042029,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo macrolídeos/derivados, em doses","Los dem.medicamentos q cont.macrólidos/derivs., en dosis","Oth.medicam.c/macrolides/derivatives, in doses"
38247190,10,382471,3990,3639,03,59899,240,2000,2029,1499,Outras misturas contendo hidrocarboneto acíclico peralogenado com fluor e cloro,Las dem.mezclas c/hidroc.acícl.perhal.c/fluor y cloro,Ot.mixtures c/acycl.perhalog.hydroc.c/fluorine/chlorine
30042031,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo rifamicina sv sódica, em doses","Medicamento q contenga rifamicina sv sódica, en dosis","Medicament c/rifamycin sv sodium, in doses"
30042032,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo rifampicina, em doses","Medicamento que contenga rifampicina, en dosis","Medicament containig rifampicin, in doses"
30042039,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo ansamicinas/derivados, em doses",Los dem.medicamentos q.cont.ansamicinas/derivs.en dosis,"Other medicaments cont.ansamycin/deriv., in doses"
30042041,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cloridrato de lincomicina, em doses","Medicamento q cont.clorhidrato de lincomicina, en dosis","Medicament contain.lincomycin hydrochloride, in doses"
30042049,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo lincosamidas/derivados, em dose",Los dem.medicamentos qcont.lincosamidas/derivs.en dosis,"Other medicaments cont.lincosamides/deriv., in doses"
30042051,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cafalotina sódica, em doses","Medicamento q.contenga cefalotina sódica, en dosis","Medicament contain.cephalothin sodium, in doses"
30042052,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cefaclor/cefalexina monoidratadas, em doses",Medicamento c/cefaclor/cefalexina monohidrats.en dosis,"Medicam.con.cephalothin/cephalexin monohydrate, in doses"
30042059,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo cefalosporinas, etc, em dose","Los dem.medicamentos q.cont.cefalosporinas, etc.dosis","Other medicaments cont.cephalosporin, etc.in doses"
30042061,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo sulfato de gentamicina, em doses","Medicamento q.contenga sulfato de gentamicina, en dosis","Medicament c/gentamycin sulphate, in doses"
30042062,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo daunorubicina, em doses","Medicamento que contenga daunorubicina, en dosis","Medicament containing daunorubicin, in doses"
30042063,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo pirarubicina, em doses","Medicamento que contenga pirarubicina, en dosis","Medicament containing pirarubicin, in doses"
30045060,10,300450,3338,3338,03,54292,322,1000,2100,1406,"Medicamento contendo ácido retiníco (tretinoína), em doses","Medicamento q cont.ácido retinoico(tretinoína), en dosis","Medicament c/retinoic acid(tretinoin), in doses"
30045090,10,300450,3338,3338,03,54292,322,1000,2100,1406,"Medicamento contendo outras vitaminas/provitaminas, etc.em doses","Medicamento c/dem.vitaminas/provitaminas, etc.en dosis","Medicament c/oth.vitamins/provitamins, etc.in doses"
30049011,10,300490,3338,3338,03,54293,322,1000,2100,1406,"Medicamento contendo estreptoquinase, em doses","Medicamento que contenga estreptoquinase, en dosis","Medicament containing streptokinase, in doses"
30049012,10,300490,3338,3338,03,54293,322,1000,2100,1406,"Medicamento contendo l-asparaginase, em doses","Medicamento que contenga l-asparaginasa, en dosis","Medicament containing l-asparaginase, in doses"
30049013,10,300490,3338,3338,03,54293,322,1000,2100,1406,"Medicamento contendo deoxirribonuclease, em doses","Medicamento que contenga deoxirribonucleasa,  en dosis","Medicament containing deoxyribonuclease, in doses"
30049019,10,300490,3338,3338,03,54293,322,1000,2100,1406,"Medicamento contendo outras enzimas, em doses","Medicamento que contenga demás enzimas, en dosis","Medicament containing enzymes, in doses"
30049021,10,300490,3338,3338,03,54293,322,1000,2100,1406,"Medicamento contendo permetrina/nitrato propatila, etc, em doses","Medicamento c/permetrina/nitrato propatilo, etc.en dosis","Medicament c/permethrin/propatyl nitrate, etc.in doses"
33012919,10,330129,3571,3571,03,55132,240,2000,2029,1404,"Óleo essencial, de eucalipto","Aceite esencial, de eucalipto","Essential oil, of eucalyptus"
33012921,10,330129,3571,3571,03,55132,240,2000,2029,1404,Óleos essenciais de alfazema ou de lavanda,"Otros aceites esenciales, de lavanda","Other essential oils, of lavender"
33012922,10,330129,3571,3571,03,55132,240,2000,2029,1404,Óleos essenciais de vetiver,"Aceite esencial, de espicanardo (vetiver)","Essential oil, of vetiver"
33012990,10,330129,3571,3571,03,55132,240,2000,2029,1404,Outros óleos essenciais,Los demás aceites esenciales,Other essential oils
33013000,10,330130,3571,3571,03,55133,240,2000,2029,1404,Resinóides,Resinoides,Resinoids
33019010,10,330190,3571,3571,03,55135,240,2000,2029,1404,"Soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tratamento de flores através de substâncias gordas ou por maceração",Disoluc.concentr.de aceites essenciales del tratam.flor,Concent.of essential oils in fats of treatment of flow.
32100020,10,321000,3855,3855,03,53343,240,2000,2022,1403,"Outros vernizes, dos tipos utilizados para acabamento de couros",Los demás barnices,Other varnishes
32100030,10,321000,3855,3855,03,53343,240,2000,2022,1403,"Pigmentos a água preparados, dos tipos utilizados para acabamento de couros","Pigmentos al agua preparados, utiliz.p/acabado de cuero",Prep.water pigments kind used forfinishing leather
32110000,10,321100,3990,3990,03,53353,240,2000,2022,1403,Secantes preparados,Secativos preparados,Prepared driers
32121000,10,321210,3990,3548,03,53344,240,2000,2022,1403,Folhas para marcar a ferro,Hojas para el marcado a fuego,Stamping foils
32129010,10,321290,3990,3548,03,53344,240,2000,2022,1403,"Alumínio em pó ou em lamelas, empastado com solvente do tipo hidrocarbonetos, com teor de alumínio superior ou igual a 60 %, em peso","Aluminio en polvo, etc.empastado c/solvente hidrocarb.","Aluminum in powd., etc, pasted with solvent hidrocarbon"
32129090,10,321290,3990,3548,03,53344,240,2000,2022,1403,"Outros pigmentos dispersos em meios não aquosos, estado líquido, etc.","Los dem.pigmentos dispers.medios n/acuosos, est.líqu.etc","Oth.pigments, dispersed in non-aqueous, liquid, etc."
32131000,10,321310,3990,3990,03,53352,322,2000,2022,1403,"Cores em sortidos para pintura artística, atividade educativa, etc.","Colores en surtidos, p/pintura artística, enseñanza, etc","Colours in sets, forartistic painting, educat.activit, etc"
32139000,10,321390,3990,3990,03,53352,322,2000,2022,1403,"Outras cores para pintura artística, atividade educativa, etc.","Los demás colores p/la pintura artística, enseñanza, etc","Other colours, forartistic painting, educat.activit, etc"
32141010,10,321410,3990,3604,03,53354,240,2000,2022,1403,"Mastique de vidraceiro, cimentos de resinas, outros mastiques","Masilla, cementos de resina y demás mástiques","Grafting putty, resin cements, other mastics"
32141020,10,321410,3990,3990,03,53354,240,2000,2022,1403,Indutos utilizados em pintura,Plastes utilizados en pintura,Painters' fillings
32149000,10,321490,3990,3990,03,53354,240,2000,2022,1403,Indutos não refratrários dos tipos utilizados em alvenaria,Plastes n/refractarios del tipo utiliz. en ambañilería,Fillings non-refractory used in masonry
32151100,10,321511,3854,3709,03,53321,240,2000,2022,1403,"Tintas pretas, de impressão","Tintas negras, de imprenta","Black ink, of printing"
32151900,10,321519,3854,3709,03,53329,240,2000,2022,1403,Outras tintas de impressão,Las demás tintas de imprenta,"Other  ink, of printing"
32159000,10,321590,3990,3990,03,89591,240,2000,2029,1403,"Tintas de escrever ou de desenhar e outras tintas, mesmo concentradas ou no estado sólido",Tintas p/escribir o dibujar y demás tintas,Ink od writing or drawing ink and other inks
33011100,10,330111,3571,3571,03,55131,240,2000,2029,1404,"Óleo essencial, de bergamota","Aceite esencial, de bergamota","Essential oil, of bergamot"
38083022,10,380830,3293,3293,03,5913,240,2000,2021,1499,"Herbicida à base de atrazina, alaclor, diuron ou ametrina","Herbicida a base de atrazina, alaclor, diurón o ametrina","Herbicide based on atrazine, alachlor, diuron or ametrine"
38083023,10,380830,3293,3293,03,5913,240,2000,2021,1499,"Herbicida à base glifosato, seus sais, de imazaquim, etc","Herbicida a base glifosato, sus sales, de imazaquín, etc","Herbicide based on glyphosate/its salts, imazaquin, etc"
38083024,10,380830,3293,3293,03,5913,240,2000,2021,1499,"Herbicida à base de dicloreto de paraquat, propanil, etc.","Herbicida a base de dicloruro de paraquat, propanil, etc","Herbicide based on paraquat dichloride, propanil, etc"
38083025,10,380830,3293,3293,03,5913,240,2000,2021,1499,"Herbicida à base de pentaclorofenol/seus sais, etc.","Herbicida a base de pentaclorofenol/sus sales, etc","Herbicide based on pentachlorophenol/its salts, etc."
38083026,10,380830,3293,3293,03,5913,240,2000,2021,1499,Herbicida à base de imazetapir,Herbicida a base de imazetapir,Herbicide based on imazethapyr
33019020,10,330190,3571,3571,03,55135,240,2000,2029,1404,Subprodutos terpênicos residuais da desterpenação dos óleos essenciais,Subprods.terpénicos resids.de la desterp.aceites esenc.,Terpenic by-prod.of the deterpenation of essent.oils
33019030,10,330190,3571,3571,03,55135,240,2000,2029,1404,Águas destiladas aromáticas e soluções aquosas de óleos essenciais,Destilados aromát.y disol.acuosa de aceites esenciales,Aqueous distillates arom./aqueous solut.of essent.oils
33019040,10,330190,1990,1990,01,55135,240,2000,2029,1404,Oleorresinas de extração,Oleorresinas de extracción,Extracted oleoresins
33021000,10,330210,3395,3395,03,55141,240,2000,2029,1404,Misturas utilizadas em materia básica para indústria alimentar/de bebida,Mezclas util.materia básica p/ind.alimentaria/de bebida,Mixtures used basic matter forfood or drink industries
33029011,10,330290,3395,3395,03,55149,240,2000,2029,1404,Vetiverol para perfumaria,Vetiverol para perfumería,Vetiverol for perfumery
33029019,10,330290,3395,3395,03,55149,240,2000,2029,1404,Outras misturas utilizadas como materia básica para perfumaria,Las dem.mezclas utiliz.como materia básica p/perfumería,Other mixtures used as basic matter forperfumery
33029090,10,330290,3395,3395,03,55149,240,2000,2029,1404,Outras misturas utilizadas como materia básica para indústria,Las dem.mezclas utiliz.como materia básica p/industria,Other mixtures used as basic matter forindustry
33030010,10,330300,3681,3681,03,5531,322,2000,2023,1404,Perfumes (extratos),Perfumes (extractos),Perfumes (extracts)
33030020,10,330300,3681,3681,03,5531,322,2000,2023,1404,Águas-de-colônia,Agua de tocador,Cologne water
33041000,10,330410,3681,3681,03,5532,322,2000,2023,1404,Produtos de maquiagem para os lábios,Preparaciones para el maquillaje de los labios,Lip make-up preparations
33042010,10,330420,3681,3681,03,5532,322,2000,2023,1404,"Sombra, delineador, lápis para sobrancelhas e rímel (produtos de maquiagem para os olhos)","Sombra, delineador, lápices para cejas y máscara","Eyeshadow, liner, pencil forbrows and mascara"
33042090,10,330420,3681,3681,03,5532,322,2000,2023,1404,Outros produtos de maquiagem para os olhos,Las demás preparaciones para el maquillaje de los ojos,Other product of eye make-up
33043000,10,330430,3681,3681,03,5532,322,2000,2023,1404,Preparações para manicuros e pedicuros,Preparaciones para manicuras y pedicuros,Manicure or pedicure preparations
33049100,10,330491,3681,3681,03,5532,322,2000,2023,1404,"Pós, incluídos os compactos, para maquiagem","Polvos, incluidos los compactos, para maquillaje","Powders, whether or not compressed, for make-up"
33049910,10,330499,3681,3681,03,5532,322,2000,2023,1404,Cremes de beleza e cremes nutritivos; loções tônicas,"Cremas de belleza, cremas nutritivas y lociones tónicas","Creams of beauty, nutritious creams and tonic lotions"
38089124,10,380891,3293,3293,03,5911,240,2000,2021,1499,Inseticidas à base de dissulfoton ou endossulfan,Insecticida a base de disulfotón o de endosulfán,Insecticide based on disulfoton or endosulfan
38089125,10,380891,3293,3293,03,5911,240,2000,2021,1499,Inseticida à base de fosfeto de alumínio,Insecticida a base de fosfuro de aluminio,Insecticide based on aluminium phosphide
60063130,10,600631,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de fibras sintéticas, crus ou branqueados, acrílicos ou modacrílicos","Los demás tejidos de punto, de fibras sintéticas, crudos o blanqueados, acrílicas o modacrílicas","Other knitted or crocheted fabrics of synthetic fibers, unbleached or bleached, acrylic or modacrylic"
60063190,10,600631,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de fibras sintéticas, crus ou branqueados, de outros tipos","Los demás tejidos de punto, de fibras sintéticas, crudos o blanqueados, otras formas","Other knitted or crocheted fabrics, of synthetic fibers, unbleached or bleached, other types"
60063200,10,600632,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de fibras sintéticas, tingidos","Ots.tejidos de punto, fibras sintét.teñidos","Other fabrics of mesh, synthetic fibres, dyed"
60063210,10,600632,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de fibras sintéticas, tintos, de náilon ou de outras poliamidas","Otros tejidos de punto, de fibras sintéticas, teñidos, nailon o demás poliamidas","Other knitted or crocheted fabrics of synthetic fibers, dyed, nylon or other polyamides"
60063220,10,600632,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de fibras sintéticas, tintos, de poliésteres","Los demás tejidos de punto de fibras sintéticas, teñidos, de poliéster","Other knitted or crocheted fabrics of synthetic fibers, dyed, of polyester"
60063230,10,600632,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de fibras sintéticas, tintos, acrílicos ou modacrílicos","Otros tejidos de punto, de fibras sintéticas, teñidos, acrílico o modacrílicas","Other knitted or crocheted fabrics of synthetic fibers, dyed, acrylic or modacrylic"
52064500,10,520645,3271,3271,03,65134,240,4000,1311,1603,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 125 decitex (número métrico superior a 80)","Hilado algod.<85%, retorc, fibr.pein.título<125decitex","Cotton yarn<85%, twisted, fibr.comb.title<125decitex"
52071000,10,520710,3271,3271,03,65131,322,4000,1311,1603,"Fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão","Hilados de algodón>=85%, para la venta al por menor","Cotton yarn>=85%, for retail sale"
52079000,10,520790,3271,3271,03,65132,322,4000,1311,1603,Outros fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho,"Ots.hilados de algodón, para la venta al por menor","Other cotton yarns, for retail sale"
52081100,10,520811,3840,3840,03,65221,240,4000,1312,1605,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso não superior a 100 g/m2","Tejido de algodón>=85%, crudo, ligam.tafetán, p<=100g/m2","Fabric of cotton>=85%, raw, point taffeta, w<=100g/m2"
52081200,10,520812,3840,3840,03,65221,240,4000,1312,1605,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso superior a 100 g/m2","Tejido de algodón>=85%, crudo, lig.tafetán, 100<p<=200g/m2","Fabric of cotton>=85%, raw, point taff.100<w<=200g/m2"
52081300,10,520813,3840,3840,03,65221,240,4000,1312,1605,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso não superior a 200 g/m2, crus, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4","Tejido de algodón>=85%, crudo, lig.sarga, p<=200g/m2","Fabric of cotton>=85%, raw, point twill, w<=200g/m2"
52081900,10,520819,3840,3840,03,65221,240,4000,1312,1605,"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso não superior a 200 g/m2, crus","Ots.tejidos de algodón>=85%, crudo, p<=200g/m2","Other fabrics of cotton>=85%, raw, weight<=200g/m2"
55092200,10,550922,3275,3275,03,65182,240,4000,1311,1601,"Fio de fibras de poliésteres >= 85%, retorcido/retorcido múltiplo","Hilado de fibras de poliésteres>=85%, retorcido/cableado","Yarn of polyesters fibres>=85%, multiple(folded)/cabled"
55093100,10,550931,3275,3275,03,65182,240,4000,1311,1601,"Fio de fibras acrílicas/modacrílicas >= 85%, simples","Hilado de fibras acrílicas/modacrílicas>=85%, sencillo","Yarn of acrylics/modacrylics fibres>=85%, single"
55093200,10,550932,3275,3275,03,65182,240,4000,1311,1601,"Fio de fibras acrílicas/modacrílicas >= 85%, retorcido,  etc","Hilado de fibras acrílicas/modacrílicas>=85%, retorc.etc","Yarn of acrylics/modacrylics fibres>=85%, folded, etc"
55094100,10,550941,3275,3275,03,65182,240,4000,1311,1601,"Fio de outras fibras sintéticas >= 85%, simples","Hilado de otras fibras sintéts.>=85%, sencillo","Yarn of other synthetic fibres>=85%, single"
55094200,10,550942,3275,3275,03,65182,240,4000,1311,1601,"Fio de outras fibras sintéticas >=85%, retorcido/retorcido múltiplo","Hilado de ots.fibras sintéts.>=85%, retorcido/cableado","Yarn of oth.synthet.fibres>=85%, multip.(folded)/cabled"
55095100,10,550951,3275,3275,03,65184,240,4000,1311,1601,"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com fibras artificiais descontínuas",Hilado de fibras de poliésteres con fibras artificiales,Yarn of fibres of polyesters with artificial fibres
55095200,10,550952,3275,3275,03,65184,240,4000,1311,1601,"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com lã ou pelos finos",Hilado de fibras de poliésteres con lana o pelo fino,Yarn of fibres of polyesters with wool/fine animal hair
55095300,10,550953,3275,3275,03,65184,240,4000,1311,1601,"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com algodão",Hilado de fibras de poliésteres con algodón,Yarn of fibres of polyesters with cotton
55095900,10,550959,3275,3275,03,65184,240,4000,1311,1601,Outros fios de fibras de poliésteres,Otros hilados de fibras de poliésteres,Other yarn of fibres of polyesters
55096100,10,550961,3275,3275,03,65184,240,4000,1311,1601,"Fio de fibras acrílicas ou modacrílicas, combinadas, principal ou unicamente, com lã ou pelos finos",Hilad.de fibras acrílicas/modacrílicas c/lana/pelo fino,Yarn of acrylics/modacr.fibres with wool/fine anim.hair
55096200,10,550962,3275,3275,03,65184,240,4000,1311,1601,"Fio de fibras acrílicas ou modacrílicas, combinadas, principal ou unicamente, com algodão",Hilado de fibras acrílicas/modacrílicas con algodón,Yarn of acrylics/modacrylics fibres with cotton
55096900,10,550969,3275,3275,03,65184,240,4000,1311,1601,Outros fios de fibras acrílicas ou modacrílicas,Otros hilados de fibras acrílicas o modacrílicas,Other yarn of acrylics/modacrylics fibres
55099100,10,550991,3275,3275,03,65184,240,4000,1311,1601,"Fio de outras fibras sintéticas, combinados, principal ou unicamente, com lã ou pelos finos",Hilado de otras fibras sintéticas con lana o pelo fino,Yarn of other synth.fibres with wool/fine anim.hair
55099200,10,550992,3275,3275,03,65184,240,4000,1311,1601,"Fio de outras fibras sintéticas, combinados, principal ou unicamente, com algodão",Hilado de otras fibras sintéticas con algodón,Yarn of other synthetic fibres with cotton
55099900,10,550999,3275,3275,03,65184,240,4000,1311,1601,Outros fios de fibras sintéticas,Otros hilados de fibras sintéticas,Other yarns of synthetic fibres
55101100,10,551011,3275,3275,03,65186,240,4000,1311,1601,"Fios que contenham pelo menos 85 %, em peso, de fibras artificiais descontínuas, simples","Hilado de fibras artificiales>=85%, sencillo","Yarn of artificial fibres>=85%, single"
55101111,10,551011,3275,3275,03,65186,240,4000,1311,1601,"Fios que contenham pelo menos 85 %, em peso, de fibras artificiais descontínuas, simples, obtidos a partir de fibras de celulose, de raiom viscose, exceto modal","Hilos que contienen al menos 85% en peso de fibras artificiales discontinuas, simple, obtenidos a partir de fibras de celulosa, de rayón de viscosa, excepto modal","Yarns containing at least 85%, by weight, of artificial staple fibers, simple, obtained from cellulose fibers, of rayon viscose, except modal"
57023100,15,570231,3990,3990,03,65951,311,4000,1393,1699,"Tapete, etc, de lã ou de pelos finos, aveludado, não confeccionado","Alfombra, etc.de lana o pelo fino, aterciopelado, s/conf.","Carpet, etc.of wool/fine animal hair, velvet, n/made-up"
57023200,15,570232,3990,3990,03,65952,311,4000,1393,1699,"Tapete, etc, de matérias têxteis sintéticas ou artificiais, aveludado, não confeccionado","Alfombra, etc.de mater.textil sint/artif.aterciop.s/conf","Carpet, etc.of textile mater.synt/artif.velvet, n/made-up"
57023900,15,570239,3990,3990,03,65959,311,4000,1393,1699,"Tapete, etc, de outras matérias têxteis, aveludado, não confeccionado","Alfombra, etc.de ots.mater.textil.aterciopelado, s/conf.","Carpet, etc.of other textile materials, velvet, n/made-up"
57024100,15,570241,3990,3990,03,65951,311,4000,1393,1699,"Tapete, etc, de lã ou pelos finos, aveludado, confeccionado","Alfombra, etc.de lana o pelo fino, aterciopelado, confecc.","Carpet, etc.of fine animal hair, velvet, made-up"
57024200,15,570242,3990,3990,03,65952,311,4000,1393,1699,"Tapete, etc, de matérias têxteis sintéticas ou artificiais, aveludado, confeccionado","Alfombra, etc.de mat.textil sint/artif.aterciop., conf.","Carpet, etc.of textile mater.syn/artif.velvet, made-up"
57024900,15,570249,3990,3990,03,65959,311,4000,1393,1699,"Tapete, etc, de outras matérias têxteis, aveludado, confeccionado","Alfombra, etc.de ots.mat.textiles, aterciopelado, confecc.","Carpet, etc.of oth.textile mater., velvet, made-up"
57025010,15,570250,3990,3990,03,65953,311,4000,1393,1699,"Tapetes revestidos para pavimento, não aveludado, não confeccionado, de lã ou de pelos finos","Alfombras revest.p/suelo, s/aterciopelar n/conf., de lana o pelo fino","Carpets floor covering, n/velvet, n/made-up,of wool/fine animal hair"
57025020,15,570250,3990,3990,03,65953,311,4000,1393,1699,"Tapetes revestidos para pavimento, não aveludado, não confeccionado, de matérias têxteis sintéticas ou artificiais","Alfombras revest.p/suelo, s/aterciopelar n/conf.,  de material sintético","Carpets floor covering, n/velvet, n/made-up,of synthetic material"
57025090,15,570250,3990,3990,03,65953,311,4000,1393,1699,"Tapetes revestidos para pavimento, não aveludado, não confeccionado, outras matérias","Alfombras revest.p/suelo, s/aterciopelar n/conf.,  de otras materias","Carpets floor covering, n/velvet, n/made-up,of other materials"
57025100,15,570251,3990,3990,03,65953,311,4000,1393,1699,"Tapete, etc, de lã ou pelos finos, não aveludado, não confeccionado","Alfombra, etc.de lana o pelo fino, s/aterciopelar n/conf.","Carpet, etc.of fine animal hair, n/velvet, n/made-up"
57025200,15,570252,3990,3990,03,65953,311,4000,1393,1699,"Tapete, etc, de outras matérias têxteis, não aveludado, não confeccionado","Alfombra, etc.de mat.textil sint/art.s/aterciop. n/conf.","Carpet, etc.of textile mat.syn/artif.n/velvet, n/made-up"
57025900,15,570259,3990,3990,03,65953,311,4000,1393,1699,"Tapete, etc, de outras matérias têxteis, não aveludado, não confeccionado","Alfombra, etc.de ots.mat.textiles, s/aterciopelar n/conf.","Carpet, etc.of oth.textile materials, n/velvet, n/made-up"
57029100,15,570291,3990,3990,03,65951,311,4000,1393,1699,"Tapete, etc, de lã ou de pelos finos, não aveludado, confeccionado","Alfombra, etc.de lana o pelo fino, s/aterciopelar, confecc","Carpet, etc.of wool/fine anim.hair, n/velvet, made-up"
57029200,15,570292,3990,3990,03,65952,311,4000,1393,1699,"Tapete, etc, de matérias têxteis sintéticas ou artificiais, não aveludado, confeccionado","Alfombra, etc.de mat.textil sint.art.s/aterciop., confecc","Carpet, etc.of textile mater.syn/art.n/velvet, made-up"
57029900,15,570299,3990,3990,03,65959,311,4000,1393,1699,"Tapete, etc, de outras matérias têxteis, não aveludado, confeccionado","Alfombra, etc.de ots.mat.textiles, s/aterciopelar, confecc","Carpet, etc.of oth.textile materials, n/velvet, made-up"
57031000,15,570310,3990,3990,03,65941,311,4000,1393,1699,"Tapete/revestimento para pavimento, de lã ou de pelos finos, tufado","Alfombra/revest.p/suelo de lana o pelo fino, mechón ins.","Carpet/cover.f/pavem.of wool/fine animal hair, tufted"
48234000,10,482340,3990,3990,03,64299,240,4000,1709,1302,"Papéis-diagrama para aparelhos registradores, em bobinas, em folhas ou em discos","Papel diagrama p/apars.registradores, en bobinas/hjs, etc","Diagram paper forrecording apparels, in rolls/sheets, etc"
48235100,10,482351,3655,3990,03,64299,240,4000,1709,1302,"Papel/cartão para escrita, etc, impressos/estampados/perfurados","Papel/cartón p/escrit., etc.impresos/estampados/perfor.",Paper/paperboard forwriting etc.printed/perforated
48235900,10,482359,3655,3990,03,64299,240,4000,1709,1302,Outros papéis/cartões para escrita/impressão/fins gráficos,Otros papeles/cartones p/escrit./impres./fines graficos,Oth.paper/paperb.forwriting etc.printed/graphic uses
72181000,10,721810,2990,2990,02,67247,240,3000,2410,1599,"Aços inoxidáveis, em lingotes e outras formas primárias","Aceros inoxidables, en lingotes o demás formas primarias",Stainless steel in ingots or other primary forms
72189100,10,721891,2207,2207,02,67281,240,3000,2410,1505,"Produtos semimanufaturados, de aços inoxidáveis, seção transversal retangular","Prods.intermedios, de aceros inox.sec.transv.rectang.",Semi-manufactured prod.stainless steel cross-section
72189900,10,721899,2207,2207,02,67281,240,3000,2410,1505,"Outros produtos semimanufaturados, de aços inoxidáveis","Los demás prods.intermedios, de aceros inoxidables","Oth.semi-manufactured prod., of stainless steel"
