CO_NCM,CO_UNID,CO_SH6,CO_PPE,CO_PPI,CO_FAT_AGREG,CO_CUCI_ITEM,CO_CGCE_N3,CO_SIIT,CO_ISIC_CLASSE,CO_EXP_SUBSET,NO_NCM_POR,NO_NCM_ESP,NO_NCM_ING
03045300,10,030453,1380,1990,01,03451,324,4000,1020,2403,Filé de peixes de diversas famílias,Filets of peces de familias específicas,Fish fillets of specific families
38249973,10,382499,3990,3639,03,59899,240,2000,2029,1499,Preparações à base de carbeto de tungstênio (volfrâmio) com níquel como aglomerante; brometo de hidrogênio em solução,Preparaciones a base de carburo de tungsteno (volfrâmio) con el níquel como aglutinante; solución de bromuro de hidrógeno,Preparations based on tungsten carbide (wolfram) with nickel as a binder; hydrogen bromide solution
38249974,10,382499,3990,3639,03,59899,240,2000,2029,1499,"Preparações à base de hidróxido de níquel ou de cádmio, de óxido de cádmio ou de óxido ferroso férrico, próprios para a fabricação de acumuladores alcalinos","Preparaciones a base de hidróxido de cadmio, óxido de cadmio u óxido ferroso férrico, adecuado para la producción de baterías alcalinas de níquel","Preparations based on nickel or cadmium hydroxide, cadmium oxide or ferric ferrous oxide, suitable for the manufacture of alkaline"
38249975,10,382499,3990,3639,03,59899,240,2000,2029,1499,Preparações utilizadas na elaboração de meios de cultura; trocadores de íons para o tratamento de águas; preparações à base de zeólitas artificiais,Preparaciones utilizadas en la preparación de medios de cultivo; intercambiadores de iones para el tratamiento del agua; preparaciones basadas en zeolitas artificiales,Preparations used in the preparation of culture media; ion exchangers for water treatment; preparations based on artificial zeolites
38249976,10,382499,3990,3639,03,59899,240,2000,2029,1499,Compostos absorventes à base de metais para aperfeiçoar o vácuo nos tubos ou válvulas elétricas,Compuestos de absorción a base de metales para mejorar el vacío de los tubos ou de las válvulas eléctricas,Absorbing compounds based on metals to improve the vacuum on tubes or electric valves
38249977,10,382499,3990,3639,03,59899,240,2000,2029,1499,Adubos (fertilizantes) foliares contendo zinco ou manganês,Fertilizantes foliares que contienen zinc o manganeso,Foliar fertilizers containing zinc or manganese
38249978,10,382499,3990,3639,03,59899,240,2000,2029,1499,"Preparações à base de óxido de alumínio e óxido de zircônio, com um conteúdo de óxido de zircônio igual ou superior a 20 %, em peso","Preparaciones de óxido de aluminio y óxido de circonio, con un contenido de óxido de circonio igual ou superior al 20%, en peso","Preparations of aluminum oxide and zirconium oxide, with a content of zirconium oxide equal or greater than 20%, by weight"
38249979,10,382499,3990,3639,03,59899,240,2000,2029,1499,"Outros produtos e preparações à base de elementos químicos ou de seus compostos inorgânicos, não especificados nem compreendidos noutras posições","Otros productos y preparaciones de compuestos inorgánicos de base, no expresados ni comprendidos en otra parte","Other products and basic inorganic compounds preparations, not specified or included elsewhere"
38249981,10,382499,3990,3639,03,59899,240,2000,2029,1499,"Preparações à base de anidrido poliisobutenilsuccínico, em óleo mineral","Preparaciones basadas en poliisobutileno anhídrido succínico, en aceite mineral",Preparations polyisobutylene succinic anhydride based on mineral oil
38249982,10,382499,3990,3639,03,59899,240,2000,2029,1499,Halquinol; tetraclorohidroxiglicina de alumínio e zircônio,Halquinol; tetraclorohidroxiglicina de alumínio y zircônio,Halquinol; tetrachlorohydroglycine of aluminum and zirconium
