name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
id_tabela,STRING,Slug of the us_stanford_dime table the dictionary entry describes,,no,,,no,,id_tabela
nome_coluna,STRING,Name of the column the dictionary entry describes,,no,,,no,,nome_coluna
chave,STRING,Code stored in the column,,no,,,no,,chave
cobertura_temporal,STRING,Temporal coverage of the dictionary entry,,no,,,no,,cobertura_temporal
valor,STRING,Label the code stands for,,no,,,no,,valor
